Method,Final Features,PCA Components,Test Accuracy,Validation Accuracy
mean,94,70,0.9880190043379468,0.9094444444444445
median,121,54,0.9898781243544722,0.9111111111111111
std,89,72,0.9921503821524479,0.9216666666666666
